zipcode,number_of_returns,income
55419,1830,115075
55419,1360,120695
55419,2960,425929
55419,1780,869184
,,
55420,"12,090","623,343"
55420,4150,52842
55420,3490,128907
55420,1980,122327
55420,1150,100584
55420,1170,152985
55420,150,65698
,,
55421,"14,950","721,271"
55421,5500,70321
55421,4510,165496
55421,2420,149173
55421,1200,104350
55421,1150,148922
55421,170,83009
,,
55422,"15,170","1,155,543"
55422,4300,51777
55422,3670,137723
55422,2470,154625
55422,1610,141898
55422,2380,323207
55422,740,346313
,,
55423,"19,720","1,085,549"
55423,6200,79640
55423,5490,204033
55423,3330,207501
55423,2080,182117
55423,2320,305719
55423,300,106539
,,
55424,"4,610","1,464,927"
55424,1130,10550
55424,420,15771
55424,320,20105
55424,270,24556
55424,830,123326
55424,1640,1270619
,,
55425,"4,970","245,591"
55425,1750,22980
55425,1610,58752
55425,730,44657
55425,420,37078
55425,390,51197
55425,70,30927
,,
55426,"14,520","1,012,479"
55426,3820,48463
55426,3780,143057
55426,2570,159596
55426,1530,134206
55426,2260,305981
55426,560,221176
,,
55427,"12,730","840,448"
55427,3700,43590
55427,3050,114277
55427,2000,125049
55427,1340,117193
55427,2210,299538
55427,430,140801
,,
55428,"15,530","731,287"
55428,5680,71088
55428,4690,171273
55428,2230,137442
55428,1360,119064
55428,1440,185875
55428,130,46545
,,
55429,"14,170","577,061"
55429,5570,73904
55429,4840,175586
55429,1960,120386
55429,920,79716
55429,810,103009
55429,70,24460
,,
55430,"11,460","456,337"
